season,player_name,Total_Tiros_Libres_IN,Total_Tiros_Libres_OUT,Block_Count,Missed_Shots_Count,Max_Assists,Max_Points,Steals,Lost Ball,Bad Pass,Foul,Max_Total_Rebounds,Total_puntos,edad,UPER
1996-1997,a.c. green,96,56,12,176,44,372,45,22,17,5,468,386,33,46
1996-1997,aaron mckie,63,10,15,162,125,289,59,15,36,8,171,233,24,32
1996-1997,aaron williams,29,16,23,54,12,150,14,6,10,7,114,137,25,15
1996-1997,acie earl,46,28,24,88,15,136,14,9,9,3,78,132,26,13
1996-1997,adam keefe,54,22,11,67,27,160,23,8,13,6,189,162,26,20
1996-1997,alan henderson,60,34,7,86,21,208,21,15,6,2,127,233,24,19
1996-1997,aleksandar djordjevic,2,1,0,4,3,18,0,1,2,0,5,18,29,1
1996-1997,allan houston,147,38,14,464,147,918,31,36,62,11,186,944,25,64
1996-1997,allen iverson,323,132,21,728,480,1433,130,82,142,13,266,1711,21,114
1996-1997,alonzo mourning,323,204,188,391,85,1149,50,44,49,50,612,1450,26,103
1996-1997,alton lister,19,6,9,34,7,56,6,1,11,5,123,45,38,9
1996-1997,amal mccaskill,9,6,5,23,8,25,3,0,5,0,25,19,23,3
1996-1997,andrew declercq,75,51,22,111,26,278,27,20,14,21,253,293,23,28
1996-1997,andrew lang,39,16,38,107,17,210,23,9,6,6,229,157,30,25
1996-1997,anfernee hardaway,276,67,34,490,289,1144,86,32,77,4,243,1401,25,94
1996-1997,anthony goldwire,44,14,2,149,153,273,23,8,34,7,62,174,25,24
1996-1997,anthony mason,252,96,24,297,310,863,58,30,65,17,660,1101,29,97
1996-1997,anthony miller,0,0,0,5,0,0,0,0,0,0,7,0,25,0
1996-1997,anthony peeler,96,19,17,515,206,838,85,30,79,6,206,674,26,65
1996-1997,antoine carr,91,25,63,248,65,498,23,22,28,12,196,410,35,42
1996-1997,antoine walker,169,100,40,579,196,1032,85,24,89,11,555,1137,20,92
1996-1997,antonio davis,186,81,67,240,44,543,33,25,25,19,0,700,28,36
